,AUC,BAC,F1,MCC,kappa,acc,precision,recall,sensitivity,specificity
Test1,0.91,0.812,0.795,0.631,0.626,0.814,0.855,0.743,0.743,0.881
Test2,0.915,0.83,0.816,0.664,0.66,0.831,0.864,0.774,0.774,0.885
Test3,0.917,0.841,0.829,0.687,0.683,0.842,0.877,0.786,0.786,0.896
Test4,0.902,0.818,0.803,0.64,0.637,0.819,0.854,0.758,0.758,0.877
Test5,0.907,0.82,0.807,0.647,0.643,0.822,0.856,0.763,0.763,0.878
Test6,0.911,0.82,0.803,0.646,0.641,0.821,0.864,0.751,0.751,0.888
Test7,0.907,0.819,0.804,0.645,0.64,0.821,0.86,0.755,0.755,0.883
Test8,0.912,0.822,0.807,0.652,0.646,0.824,0.866,0.755,0.755,0.889
Test9,0.913,0.832,0.82,0.67,0.667,0.834,0.868,0.778,0.778,0.887
Test10,0.905,0.816,0.8,0.639,0.634,0.818,0.859,0.749,0.749,0.883
均值,0.910 ,0.823 ,0.808 ,0.652 ,,,,,,
标准差,0.004 ,0.008 ,0.010 ,0.016 ,,,,,,
