,AUC,BAC,F1,MCC,kappa,acc,precision,recall,sensitivity,specificity
Test1,0.909,0.824,0.811,0.651,0.649,0.825,0.854,0.773,0.773,0.874
Test2,0.915,0.832,0.821,0.669,0.667,0.834,0.862,0.785,0.785,0.88
Test3,0.919,0.842,0.832,0.686,0.684,0.843,0.865,0.802,0.802,0.881
Test4,0.904,0.825,0.811,0.655,0.652,0.826,0.861,0.767,0.767,0.883
Test5,0.905,0.817,0.803,0.639,0.635,0.818,0.85,0.761,0.761,0.873
Test6,0.909,0.819,0.805,0.643,0.639,0.82,0.854,0.761,0.761,0.877
Test7,0.909,0.819,0.805,0.644,0.64,0.821,0.855,0.76,0.76,0.878
Test8,0.913,0.822,0.81,0.646,0.644,0.822,0.848,0.775,0.775,0.868
Test9,0.905,0.828,0.816,0.661,0.658,0.83,0.862,0.774,0.774,0.882
Test10,0.904,0.815,0.801,0.635,0.632,0.817,0.848,0.759,0.759,0.871
均值,0.909 ,0.824 ,0.812 ,0.653 ,,,,,,
标准差,0.005 ,0.008 ,0.009 ,0.015 ,,,,,,
