,AUC,BAC,F1,MCC,kappa,acc,precision,recall,sensitivity,specificity,
Test1,0.907,0.815,0.796,0.642,0.633,0.818,0.875,0.729,0.729,0.901,
Test2,0.909,0.816,0.794,0.648,0.636,0.819,0.892,0.715,0.715,0.918,
Test3,0.902,0.811,0.789,0.636,0.625,0.813,0.88,0.715,0.715,0.907,
Test4,0.914,0.834,0.818,0.679,0.671,0.836,0.893,0.754,0.754,0.914,
Test5,0.916,0.816,0.794,0.647,0.635,0.819,0.889,0.717,0.717,0.915,
Test6,0.887,0.808,0.788,0.629,0.62,0.811,0.87,0.719,0.719,0.898,
Test7,0.888,0.818,0.799,0.645,0.637,0.819,0.874,0.736,0.736,0.899,
Test8,0.9,0.82,0.799,0.656,0.644,0.823,0.895,0.721,0.721,0.92,
Test9,0.914,0.812,0.788,0.637,0.625,0.814,0.884,0.711,0.711,0.912,
Test10,0.904,0.82,0.803,0.65,0.643,0.822,0.874,0.742,0.742,0.899,
¾ùÖµ,0.904 ,0.817 ,0.797 ,0.647 ,,,,,,,
·½²î,0.010 ,0.007 ,0.009 ,0.013 ,,,,,,,
